State,Szn,St,0,10,20,28,35,40,50
Particulate,S,1,,0.871428046,,,,,0.800414166
Particulate,F,1,,0.232203446,,,0.181768362,,
Dissolved,S,1,,5.597989,,,,,5.483666
Dissolved,F,1,,1.049016,,,,,1.049016
Particulate,S,2,,0.029760019,,,,,0.422399389
Particulate,F,2,,,,,,,
Dissolved,S,2,,3.483348,,,,,6.970495
Dissolved,F,2,,,,,,,
Particulate,S,3,,0.137684853,0.255640884,,,,
Particulate,F,3,,0.337901839,,0.235522644,,,
Dissolved,S,3,,1.278082,,,,,3.703618
Dissolved,F,3,,1.302327,,,,3.2,
Particulate,S,4,,0.117513145,0.27446244,,,,
Particulate,F,4,,0.246372495,,,,,
Dissolved,S,4,,2.109241,,,,,3.999933
Dissolved,F,4,,4.39,,,,,
Particulate,S,5,,0.207220896,,,,,0.156638994
Particulate,F,5,,0.229535946,,,,,0.242012172
Dissolved,S,5,,2.640279,,,,,4.524832
Dissolved,F,5,,4.851373,,,,,4.5
Particulate,S,6,,0.247879279,,,,,0.259091303
Particulate,F,6,,0.490555232,,,,,0.38818944
Dissolved,S,6,,4.915198,,,,,3.226053
Dissolved,F,6,,1.907064,,,,,4.3
Particulate,F,6B,,3.101689976,,,,,
Dissolved,F,6B,,1.383592,,,,,
Particulate,S,7,,0.281674834,,,,,0.253376576
Particulate,F,7,,0.163758566,,,,,0.147591018
Dissolved,S,7,,6.780329,,,,,4.31195
Dissolved,F,7,,2.4,,,,,2.6
Particulate,S,8,,0.270991852,0.422512825,,,,
Particulate,F,8,,0.366985637,,,,0.367433592,
Dissolved,S,8,,14.97752,,,,,3.867262
Dissolved,F,8,,2.06,,,,,3.4
Particulate,S,9,,0.754005007,,,,,0.257051469
Particulate,F,9,,0.292203496,,,,,0.187383982
Dissolved,S,9,,1.865827,,,,,2.398492
Dissolved,F,9,,1.608109,,,,,3.33
Particulate,S,Shilshole,5.581465699,,,,,,
Dissolved,S,Shilshole,166.3632,,,,,,
Particulate,S,Tacoma,1.43895464,,,,,,
Dissolved,S,Tacoma,31.88688,,,,,,
Particulate,F,Elliot Bay,1.163193678,,,,,,
Dissolved,F,Elliot Bay,23.9587,,,,,,
